序號,帳號,Threads粉絲,類型,Bio/簡介,代表貼文,建議接洽理由,優先度
1,lennawangtw,34426,質感KOL,"聽君一席話 如聽一席話",https://www.threads.com/@lennawangtw/post/DW6jzjtEsxG,自己正在開MIT台灣保養團購(4/15截止)，高度契合HEIWEI在地品牌定位,★★★★★
2,peicaiyun,20067,音樂人/香氛師,用音樂和香氣療癒你! Musician/Perfumer,https://www.threads.com/@peicaiyun/post/DMvFFqrTEY0,明確表示想找美妝保養合作開團，有香氛/藝文女性受眾,★★★★
3,b_pastry,14727,生活/美食KOL,在權世界 拚命發瘋做自己,https://www.threads.com/@b_pastry/post/C_H9J1TSfks,4萬+粉絲每天收到團購邀請，會用心拍影片介紹，重視分潤條件,★★★★★
4,cosdetectivekonan,11520,保養品評測,—,https://www.threads.com/@cosdetectivekonan/post/DAa2dLXzaZ9,主動幫粉絲爭取保養品團購福利，粉絲黏性高,★★★★★
5,sansan_333333,6417,團購主,美業斜槓團購主 常舉辦抽獎回饋,https://www.threads.com/@sansan_333333/post/DHNinnWSsAg,美業背景+已開過芳茲等保養品牌團，重視品牌形象,★★★★★
6,a0723happy,4549,媽媽團購主,4萬人媽媽社團+千人LINE群+80坪倉庫,https://www.threads.com/@a0723happy/post/DWA6o3DESpL,有倉庫可代出貨，媽媽客群與HEIWEI輕齡女性受眾可互補,★★★★
7,_reinachannel,4206,美妝KOL,—,https://www.threads.com/@_reinachannel/post/DPBSIL8j9cj,自稱美妝KOL/YouTuber 觀察團購頻率，熟悉美妝操作,★★★★
8,aha_nadine,3048,美妝行銷人,5y+小紅書行銷/MCN美妝短影音編導/行銷公司,https://www.threads.com/@aha_nadine/post/DKo6inlTFMt,專業MCN操盤手，可帶入短影音策略+小紅書跨境(越南擴張可談),★★★★
9,0857kate,2625,媽媽KOL,—,https://www.threads.com/@0857kate/post/DRe9-dak0MA,媽媽族群好溝通，明確表態想找好產品合作葉配團購,★★★
10,jiadilin,1446,新手媽媽團主,新手媽媽日常｜帶娃旅行｜生活團購,https://www.threads.com/@jiadilin/post/DS5QeUXElIi,新興主動徵求品牌合作，合作報價可能較彈性,★★★
11,keiko_015310,632,小護士/團主,6年經營團購主+出國代購,https://www.threads.com/@keiko_015310/post/DUiFrXECSCG,6年經驗客人黏著度高，護士身分對肌膚議題可信度強,★★★★
12,elma.tw,581,類醫美KOL,類醫美輕奢保養品牌 3r逆時保養法,https://www.threads.com/@elma.tw/post/DHnJpXKyafM,自己是類醫美保養品牌，目標受眾完全重疊(競合需評估),★★★
13,mmdd.789,562,美肌調理師,美肌調理師｜新手解夢師,https://www.threads.com/@mmdd.789/post/DLwseQxvYVi,美肌調理師身分加分，愛揪團(生活+保養+零食),★★★
14,pei__093,559,生活團主,美妝｜零食｜日用品｜雜貨,https://www.threads.com/@pei__093/post/DRxVmagE_YH,剛開啟團購積極找廠商，切入成本低,★★★
15,flower90532,448,黃瓜媽咪,近2萬人FB團購社團+直播導購,https://www.threads.com/@flower90532/post/DNNx2_JvlrC,Threads粉少但FB團購社團2萬人+廠播直播資源,★★★★
16,defangw,424,二寶媽選物團主,一個二寶媽和選物團購主,https://www.threads.com/@defangw/post/DIfKMsrBMRc,幫廠商賣出破百萬業績，實戰派導購,★★★★
17,byshani.0312,未驗證,上市保養品牌行銷,協助上市MIT保養品牌團主合作方案,https://www.threads.com/@byshani.0312/post/DSH7jTgE6Ia,熟悉保養品團購流程 有成熟素材包邏輯 可同業交流,★★★
18,yenchen_chu,289 (Threads)/8000 (群組),團購主,8000人團購群組活躍度高,https://www.threads.com/@yenchen_chu/post/DMzLMHpz3nd,明確徵求美妝保養品 可直接帶入封閉式高購買力群組,★★★★
19,peggy_huang8889,159 (Threads)/萬人 (FB+LINE),團購主,萬人賣場+團購社團 有倉庫,https://www.threads.com/@peggy_huang8889/post/DNscFHI4lop,雖Threads小 但FB+LINE萬人 適合穩定補貨通路,★★★
20,yuan.yuan_240110,未驗證,台北5年團主,台北經營5年群組的團主,https://www.threads.com/@yuan.yuan_240110/post/DWoxF98GNeF,5年實戰經驗 北部通路 適合線下快閃/試用會,★★★
