brand,main_category,sub_category
ADORABLEDOG,Pet Products,Fashion/Accessory/Homeware
ainsoap,Pet Products,Grooming/Hygiene
ALLPETS&CO,Pet Products,Grooming/Hygiene
Always Hungry Club,Pet Products,Fashion/Accessory/Homeware
auntmimipet,Pet Products,Outdoor Products/Toys
Baileypet,Pet Products,Fashion/Accessory/Homeware
banryodaum,Pet Food,Supplements
bebepaw,Pet Products,Outdoor Products/Toys
BEBEPEPE,Pet Products,Grooming/Hygiene
BENTLA,Pet Products,Outdoor Products/Toys
BERRY MARCH,Pet Products,Outdoor Products/Toys
Billy'sVet,Medical&Health Care,Pharmaceuticals
Bitee (Weihai) Pet Products Co. Ltd.,Pet Products,Outdoor Products/Toys
BITEME,Pet Products,Outdoor Products/Toys
BIXBI,Pet Food,Food
BOONDOG,Pet Products,Outdoor Products/Toys
BRIDGE&COMPANY,Pet Food,Treats
BRIDGE.DOG,Pet Products,Fashion/Accessory/Homeware
BrightCare,Pet Products,Outdoor Products/Toys
Chanelamuse,Pet Products,Fashion/Accessory/Homeware
chiot,Pet Products,Fashion/Accessory/Homeware
Chuu_vley,Pet Products,Fashion/Accessory/Homeware
comfyravioli,Pet Products,Outdoor Products/Toys
COMOCOMO,Pet Products,Fashion/Accessory/Homeware
Conimal House,Pet Products,Fashion/Accessory/Homeware
Cottondog,Pet Products,Outdoor Products/Toys
daddy's meal,Pet Food,Food
DEARSCO,Pet Products,Grooming/Hygiene
Deulbi,Pet Products,Outdoor Products/Toys
DOGTORI,Pet Products,Fashion/Accessory/Homeware
dr.mune,Pet Food,Supplements
eastseabrother,Pet Food,Treats
ECO-PET,Pet Food,Supplements
EL AMIGO,Pet Products,Grooming/Hygiene
ERNEST / DNDN,Pet Food,Treats
EVERYONCE,Pet Products,Grooming/Hygiene
fanCpet,Pet Products,Fashion/Accessory/Homeware
FLOT,Pet Products,Fashion/Accessory/Homeware
FLUFFYPET,Pet Products,Fashion/Accessory/Homeware
FuzzYard,Pet Products,Fashion/Accessory/Homeware
