編號,IG帳號,店名/品牌,類型,IG粉絲數(估),地區/門市,經營內容,Email/聯絡方式,備註
1,@96line.tw,96LINE 韓國代購,代購/網拍,,全台寄送,韓國商品全品項代購,96linetw@gmail.com,有官方LINE @qni5531q
2,@shock_is_good,Shockisgood,美妝團購/選品,13.9K,全台寄送,美妝觀察家/前美妝編輯/日本韓國美妝團購,heysigner@gmail.com,合作邀約請mail
3,@fashion.jump.store,Fashion Jump 韓系服飾選貨店,實體+網拍,大型,高雄/台北東區門市,韓系平價潮流服飾選貨/Unisex,LINE@fjstore / jiangxiu627@gmail.com,高雄起家 台北東區新店
4,@mili_167283,CU 韓系潮流女裝,實體+網拍,22K,高雄左營/新光三越,韓系甜辣風格潮流服飾/蝦皮,IG私訊,2000+品項 蝦皮隔日到貨
5,@niandco.28,Ni & Co. 韓國設計師品牌選品,實體+網拍,10K,台中逢甲(文華路21號),韓國設計師品牌選品/每週上新,IG私訊,官網 niandco28.com
6,@wwww_korea,W.Korea W正韓服飾,實體+網拍,中大型,台中門市+台北門市,正韓女裝選品/高雄快閃,IG私訊,雙門市經營
7,@korea_moos,MOOS,實體+網拍,中大型,台中一中(太平路)+新竹(文化街),韓系日常質感穿搭/每週上新,IG私訊,營業13:30-22:00
8,@viviikorea,ViVi Korea,實體+網拍,中型,台中逢甲(逢甲路95號),每月親飛韓國/韓國女裝網拍實體,04-24514880,營業15:00起
9,@_fee.baby_,FEE BABY 時尚女裝,實體+網拍,中大型,新北新莊(復興路一段7號2樓),全館2000款現貨/1天出貨2次,官方LINE,營業10:00-21:00
10,@26.seoul,26.seoul 韓國品牌代購,實體+網拍,中型,台中逢甲門市,韓國品牌代購選品/闆娘韓國人,LINE: @26.seoul,IG不回覆 請加LINE
11,@lilian20130910,逢甲Lilian韓國服飾,實體,小型,台中逢甲(逢甲路20巷),隔週FB直播/韓國服飾,IG私訊,營業15:00-24:00
12,@petites_select,小小正韓 Petites Select,代購/網拍,中型,全台寄送,韓國東大門女裝代購/空運/群組享批價,LINE群組,每週新品同步上架
13,@pearheidi99,梨形身材找海蒂,代購/網拍,中型,全台寄送,正韓女裝/梨形身材穿搭專門,IG私訊,TikTok同步經營
14,@boga_tw,Boga,代購+快閃,中型,韓國連線/不定期快閃,韓國連線代購/快閃店,IG私訊,招募快閃工作人員中
15,@gray_code_,Gray Code 正韓選品,實體,中型,台中一中/高雄新崛江,正韓選品不撞衫,LINE: @475syhte,雙城市門市
16,@intern_select,東大門市場開團代購,代購/網拍,中型,全台寄送,東大門女裝/jellycat/全球代購,IG私訊,不提供尺寸建議
17,@angelkorea_,Angel Korea,代購/網拍,中型,全台寄送,東大門代購/每週新品上架/折扣活動,IG私訊,經典回歸款+新品
18,@ct28._,CT28 正韓女裝,實體+批發,中型,新竹竹北,正韓女裝批發零售/韓國品牌代購,LINE: licat3991,批發合作可談
19,@fen_korea,Fen Korea,代購/網拍,中型,全台寄送,韓國連線代購/每季新品,IG私訊,春季連線中
20,@jcjc.dailywear,JCJC Daily Wear,代購/網拍,中型,全台寄送,韓國連線/官網下單/新品直播,IG私訊,官網購買+IG直播
21,@kwr.wholesale,KWR 韓國女裝批發,批發+零售,中型,全台寄送,每月500+款韓國新款/現貨直送/提供素材,IG私訊,可提供美圖文案素材
22,@cogi.vibe,房東選品,代購/網拍,中小型,全台寄送,韓國小眾品牌代購(ILLIGO/EXPIRED GIRL等),IG私訊,預購制7-30天出貨
23,@winnie_store_official,Winnie Store,網拍,中小型,全台寄送,春夏新品韓國女裝,IG私訊,持續上新中
24,@mj_unique_style,Wonder Lumo,代購/網拍,中型,全台寄送,韓國連線代購/台灣發貨,IG私訊,官網 wonderlumo.co
25,@janviertw_studio,Janvier Studio,代購/直播,中型,全台寄送,韓國東大門品牌代購/直播連線,IG私訊,4月韓國直播連線中
26,@cocochilitw,Beforesunrise清晨/Cocochili,網拍,中型,全台寄送,正韓女裝/蝦皮官網同步/闆娘實穿,IG私訊,官網 cocochilitw.easy.co
27,@flower_koreashop_keelung_,劉蓓蓓韓國代購,實體+批發,中型,基隆,韓國代購12年/服飾店21年/批發經驗30年,IG私訊,超資深韓貨老闆娘
28,@pdrunway,produce runway 韓國東大門女裝批發,批發,中型,東大門直送,韓國東大門女裝批發/每週新款上架,IG私訊,實拍展示 可加微信下單
29,@long__studio,LONG STUDIO,選貨/代購,中型,全台寄送,質感選貨/服飾代購/潮流推廣,IG私訊,女裝部門 @aquastore_tw
30,@kkoba_sneaker,KKoba 韓國人韓國代購,實體+代購,中小型,台南實體店面,韓國代購/三麗鷗/連線代購,IG私訊,老闆是韓國人
31,@dbdb.official.tw,DBDB Official,網拍,中型,全台寄送,韓國女裝官方,IG私訊,官網購買
32,@kuku._tw,Kuku 中大尺碼韓國女裝,網拍,中小型,全台寄送,中大尺碼韓國女裝/闆娘實穿實拍,IG私訊,滿2000免運 全實穿實拍
33,@canaonlinefashion,CANA Online Fashion,網拍/直播,中小型,全台寄送,韓國連線新品直播/春裝,IG私訊,每晚9點直播
34,@moni.studio_,Moni Studio,網拍,中型,全台寄送,韓系女裝套裝穿搭,IG私訊,蝦皮同步販售
35,@pipppppiiii,Cookie in Korea,代購/直播,中型,全台寄送,韓國連線代購/品牌代購/直播,IG私訊,四月韓國連線中
